project,TARGET_CLASS,test-name,cohesion,coupling
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test16,0.7075891062937327,0.2626201450698919
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test17,0.5,0.3115254070296543
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test18,0.6002327158550029,0.10807787456896516
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test19,0.5,0.25177831740804985
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test20,0.6324327564743331,0.14685731415402248
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test21,0.6151325382542105,0.10585817521405447
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test22,0.5,0.35057656277725463
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test23,0.5,0.03513043578323983
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test24,0.5863475786179109,0.2845240023028168
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test25,0.6527210062491229,0.07125568734219877
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test26,0.5,0.4700121468092388
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test27,0.5,0.40440668116552286
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test28,0.5,0.13324543770487654
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test29,0.6352052910154344,0.4238354813354639
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test30,0.5,0.04316225563899995
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test31,0.5,0.370226161604237
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test32,0.5,0.05898534896907844
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test33,0.6474099257344714,0.4700121468092388
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test34,0.5,0.4700121468092388
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test35,0.6590104241434624,0.20442109529950075
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test36,0.5,0.3984272790832556
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test37,0.5,0.3328265455976428
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test38,0.5737020794890337,0.4273727161896478
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test39,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test40,0.6026709960819896,0.08226795239360013
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test41,0.5,0.3984272790832556
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test42,0.5,0.373927538819414
