project,test-suite,test-method,production-class,isEagerTest
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test22,macaw.businessLayer.Variable,0.15942028985507245
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test0,macaw.businessLayer.SupportingDocument,0.3
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test1,macaw.businessLayer.SupportingDocument,0.45
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test2,macaw.businessLayer.SupportingDocument,0.35
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test3,macaw.businessLayer.SupportingDocument,0.3
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test4,macaw.businessLayer.SupportingDocument,0.1
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test5,macaw.businessLayer.SupportingDocument,0.35
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test6,macaw.businessLayer.SupportingDocument,0.45
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test7,macaw.businessLayer.SupportingDocument,0.45
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test8,macaw.businessLayer.SupportingDocument,0.4
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test00,macaw.businessLayer.Variable,0.07246376811594203
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test01,macaw.businessLayer.Variable,0.10144927536231885
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test02,macaw.businessLayer.Variable,0.08695652173913043
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test03,macaw.businessLayer.Variable,0.043478260869565216
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test04,macaw.businessLayer.Variable,0.10144927536231885
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test05,macaw.businessLayer.Variable,0.043478260869565216
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test06,macaw.businessLayer.Variable,0.13043478260869565
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test07,macaw.businessLayer.Variable,0.13043478260869565
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test08,macaw.businessLayer.Variable,0.11594202898550725
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test09,macaw.businessLayer.Variable,0.08695652173913043
