TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,6,8525,361,362,207460,11,11,211,211,1029,1.0,1.6307234210998138
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,51,31,38212,1633,1634,604593,11,11,220,220,1020,0.8793103448275862,1.6897329224247744
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,19,22235,1035,1036,488833,12,12,244,244,1002,1.0,1.6028510101300055
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,22,31858,1130,1131,562223,10,10,260,260,1021,1.0,1.6572309015337208
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,54,24,27880,1251,1252,676078,10,10,235,235,1023,0.9310344827586208,1.6222921288509211
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,56,31,40379,1619,1620,511291,11,11,182,182,1013,0.9655172413793104,1.5294136348788907
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,46,29,42245,1495,1496,654856,10,10,240,240,1026,0.7931034482758621,1.6440545564759776
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,18,25980,846,847,467913,8,8,174,174,1001,1.0,1.675833310282863
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,55,31,33825,1662,1663,670094,13,13,234,234,1027,0.9482758620689656,1.6717161384309815
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,22,28568,1176,1177,620778,10,10,239,239,1025,1.0,1.6817417536377934
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,25,27551,1335,1336,511616,15,15,314,314,1012,1.0,1.6184687785806355
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,11,12611,625,626,322772,13,13,286,286,1007,1.0,1.6000681628431013
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,20,21629,1080,1081,475584,10,10,197,197,1011,1.0,1.4959557159872183
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,58,9,14192,492,493,320882,10,10,232,232,1022,1.0,1.5467624605158206
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,QMOSA,58,54,9,57,22,25720,1167,1168,676528,12,12,241,241,1018,0.9827586206896552,1.6230633653501507
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,666,50,51,7552,2,2,16,16,1013,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,693,50,51,7960,1,1,11,11,1014,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,652,50,51,9942,1,1,23,23,1008,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,622,50,51,9386,1,1,32,32,1025,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,776,50,51,8576,2,2,34,34,1027,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,721,50,51,9263,1,1,26,26,1012,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,672,50,51,7217,2,2,27,27,1028,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,648,50,51,8557,1,1,14,14,1005,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,664,50,51,8360,1,1,22,22,1024,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,654,50,51,8040,1,1,11,11,1020,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,629,50,51,7766,1,1,20,20,1015,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,757,50,51,8021,1,1,12,12,1009,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,664,50,51,8837,2,2,49,49,1023,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,645,50,51,7324,2,2,14,14,1022,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,722,50,51,9379,2,2,18,18,1000,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,674,50,51,7561,2,2,34,34,1018,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,629,50,51,9766,1,1,28,28,1006,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,701,50,51,7624,1,1,17,17,1007,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,635,50,51,8335,1,1,36,36,1004,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,777,50,51,7051,2,2,36,36,1029,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,672,50,51,9686,1,1,34,34,1002,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,QMOSA,3,0,3,3,0,620,50,51,9227,2,2,42,42,1026,1.0,0.6931471805599453
