TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,11,15229,618,619,66866,13,13,200,200,1019,1.0,1.4273415466667692
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,9,11083,515,516,109803,14,14,164,164,1023,1.0,1.3223834645132535
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,56,31,30087,1654,1655,69731,11,11,113,113,1021,0.9655172413793104,1.326207113917696
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,5,7745,305,306,50977,14,14,234,234,1026,1.0,1.6059401334119832
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,13,16681,720,721,73684,14,14,183,183,1020,1.0,1.5545614181523315
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,57,31,44348,1612,1613,128378,10,10,99,99,1004,0.9827586206896552,1.534691257774312
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,49,31,25366,1643,1644,153955,12,12,88,88,1010,0.8448275862068966,1.2067436499426398
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,31,43864,1630,1631,72758,16,16,222,222,1007,1.0,1.551198052740575
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,57,31,42039,1533,1534,77397,12,12,106,106,1012,0.9827586206896552,1.2573015824795066
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,7,8077,410,411,100411,12,12,144,144,1005,1.0,1.5751354484094235
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,10,9747,578,579,124748,13,13,113,113,1002,1.0,1.4119785902610194
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,45,31,20568,1666,1667,93475,13,13,80,80,1006,0.7758620689655172,1.319186343181968
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,56,31,28389,1652,1653,105003,13,13,87,87,1014,0.9655172413793104,1.3167941725233483
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,23,29171,1209,1210,170526,13,13,173,173,1015,1.0,1.4121089034155203
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,19,24267,1027,1028,99565,12,12,152,152,1016,1.0,1.5495782748557578
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,11,10964,620,621,63405,9,9,99,99,1011,1.0,1.428326105021045
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,19,18990,1053,1054,158787,16,16,141,141,1018,1.0,1.4016538018565057
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,58,10,15332,550,551,117108,12,12,233,233,1022,1.0,1.4750324074170296
com.browsersoft.openhre.hl7.impl.regular.ExpressionMatrixImpl,BRANCH,MOSA,58,54,9,45,31,23472,1676,1677,109489,11,11,65,65,1027,0.7758620689655172,1.1869217312295073
