TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,134310,34981,36267,281996,3,3,19,19,1022,0.4666666666666667,0.8094245458409559
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,73577,36317,36938,223975,4,4,20,20,1007,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,97077,36129,37156,232310,4,4,19,19,1028,0.4666666666666667,0.7803552045207032
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,221726,36278,37014,331615,4,4,20,20,1013,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,99416,36305,37069,298043,4,4,19,19,1008,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,90794,36191,37159,223352,4,4,19,19,1025,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,209361,36529,37688,354646,4,4,23,23,1029,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,68468,36299,37575,288745,4,4,20,20,1015,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,245658,35320,36294,167128,3,3,18,18,1000,0.4666666666666667,0.8094245458409559
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,89415,36203,37132,171037,3,3,21,21,1005,0.4666666666666667,0.784698204615621
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,96192,36213,36920,173137,4,4,20,20,1026,0.4666666666666667,0.7803552045207032
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,94313,36276,36777,436967,3,3,19,19,1027,0.4666666666666667,0.784698204615621
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,69750,36099,37094,158571,4,4,29,29,1003,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,212622,35359,36349,158119,3,3,20,20,1019,0.4666666666666667,0.8094245458409559
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,169915,36537,37201,517262,4,4,24,24,1012,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,61557,36388,37126,314767,4,4,19,19,1010,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,173879,36344,37023,264871,4,4,19,19,1017,0.4666666666666667,0.7803552045207032
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,58184,36151,37494,144693,4,4,16,16,1006,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,127168,36266,37434,214067,4,4,32,32,1001,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,324619,35701,36661,188548,4,4,45,45,1011,0.4666666666666667,0.7803552045207032
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,106410,36252,37079,141656,4,4,23,23,1023,0.4666666666666667,0.7945134575869863
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,68711,35471,36152,137522,4,4,47,47,1014,0.4666666666666667,0.7803552045207033
client.network.ClientMsgReceiver,BRANCH,ReadableMOSA,15,12,5,7,699,113621,36382,36972,257678,4,4,17,17,1020,0.4666666666666667,0.7945134575869863
